2022-02-06-13:28:16.523014,12.0,11.0,358.0
2022-02-06-13:28:16.523991,0.0,18.0,358.0
2022-02-06-13:28:16.523991,5.0,1.0,359.0
2022-02-06-13:28:16.525012,11.0,12.0,359.0
2022-02-06-13:28:16.525987,1.0,14.0,359.0
2022-02-06-13:28:16.527946,3.0,4.0,360.0
2022-02-06-13:28:16.527946,1.0,3.0,360.0
2022-02-06-13:28:16.528943,4.0,3.0,361.0
2022-02-06-13:28:16.529966,3.0,7.0,361.0
2022-02-06-13:28:16.530965,5.0,4.0,361.0
2022-02-06-13:28:16.532933,5.0,3.0,361.0
2022-02-06-13:28:16.532933,6.0,10.0,361.0
2022-02-06-13:28:16.533930,4.0,4.0,361.0
2022-02-06-13:28:16.534956,1.0,20.0,362.0
2022-02-06-13:28:16.535950,2.0,8.0,362.0
2022-02-06-13:28:16.536948,2.0,0.0,362.0
2022-02-06-13:28:16.537948,11.0,7.0,362.0
2022-02-06-13:28:16.538963,7.0,0.0,361.0
2022-02-06-13:28:16.539914,2.0,21.0,361.0
2022-02-06-13:28:16.540937,2.0,8.0,362.0
2022-02-06-13:28:16.541937,6.0,0.0,361.0
2022-02-06-13:28:16.542932,6.0,2.0,362.0
2022-02-06-13:28:16.543930,9.0,12.0,361.0
2022-02-06-13:28:16.544927,8.0,4.0,361.0
2022-02-06-13:28:16.545924,5.0,7.0,361.0
2022-02-06-13:28:16.546921,3.0,10.0,361.0
2022-02-06-13:28:16.547919,6.0,1.0,361.0
2022-02-06-13:28:16.548916,7.0,9.0,362.0
2022-02-06-13:28:16.549916,10.0,5.0,361.0
2022-02-06-13:28:16.550911,3.0,4.0,362.0
2022-02-06-13:28:16.551908,2.0,20.0,361.0
2022-02-06-13:28:16.552906,3.0,11.0,361.0
2022-02-06-13:28:16.553908,0.0,4.0,361.0
2022-02-06-13:28:16.554874,6.0,4.0,362.0
2022-02-06-13:28:16.555871,11.0,0.0,362.0
2022-02-06-13:28:16.556870,9.0,10.0,361.0
2022-02-06-13:28:16.557866,3.0,8.0,362.0
2022-02-06-13:28:16.558890,1.0,15.0,361.0
2022-02-06-13:28:16.559913,4.0,9.0,361.0
2022-02-06-13:28:16.560906,6.0,1.0,362.0
2022-02-06-13:28:16.561905,10.0,6.0,361.0
2022-02-06-13:28:16.562900,8.0,8.0,362.0
2022-02-06-13:28:16.563899,4.0,2.0,362.0
2022-02-06-13:28:16.564875,0.0,18.0,361.0
2022-02-06-13:28:16.566842,3.0,9.0,361.0
2022-02-06-13:28:16.567846,4.0,4.0,361.0
2022-02-06-13:28:16.567846,6.0,2.0,362.0
2022-02-06-13:28:16.568847,4.0,11.0,361.0
2022-02-06-13:28:16.569836,9.0,4.0,361.0
2022-02-06-13:28:16.570831,8.0,7.0,361.0
2022-02-06-13:28:16.571856,2.0,13.0,361.0
2022-02-06-13:28:16.572859,1.0,20.0,360.0
2022-02-06-13:28:16.573853,2.0,1.0,361.0
2022-02-06-13:28:16.574847,2.0,5.0,360.0
2022-02-06-13:28:16.575851,2.0,5.0,360.0
2022-02-06-13:28:16.576842,9.0,12.0,361.0
2022-02-06-13:28:16.577839,9.0,12.0,360.0
2022-02-06-13:28:16.578836,7.0,3.0,360.0
2022-02-06-13:28:16.579846,1.0,20.0,361.0
2022-02-06-13:28:16.580832,2.0,14.0,360.0
2022-02-06-13:28:16.581831,7.0,3.0,359.0
2022-02-06-13:28:16.582828,5.0,3.0,359.0
2022-02-06-13:28:16.583818,5.0,7.0,359.0
2022-02-06-13:28:16.584812,10.0,3.0,359.0
