# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.685136563682006121e+09,0.000000000000000000e+00,-1.431521601951487310e-01,0.000000000000000000e+00,7.707580596840413190e-01
1.666666666666666644e-02,1.685136563683971643e+09,0.000000000000000000e+00,7.707580596840413190e-01,1.612529040674873126e+00,7.707580596840413190e-01
3.333333333333333287e-02,1.685136563687975883e+09,0.000000000000000000e+00,-2.576737435171164714e-01,0.000000000000000000e+00,-2.576737435171164714e-01
5.000000000000000278e-02,1.685136563701999187e+09,0.000000000000000000e+00,-4.164593605626037420e-01,0.000000000000000000e+00,-4.164593605626037420e-01
6.666666666666666574e-02,1.685136563718995094e+09,0.000000000000000000e+00,-4.386934526353228336e-01,0.000000000000000000e+00,-4.386934526353228336e-01
8.333333333333332871e-02,1.685136563735996723e+09,0.000000000000000000e+00,-3.490427468503379815e-01,0.000000000000000000e+00,-3.490427468503379815e-01
1.000000000000000056e-01,1.685136563752969742e+09,0.000000000000000000e+00,-4.420617456143567381e-01,0.000000000000000000e+00,-4.420617456143567381e-01
1.166666666666666685e-01,1.685136563770994663e+09,0.000000000000000000e+00,-5.160958890356730500e-01,0.000000000000000000e+00,-5.160958890356730500e-01
1.333333333333333315e-01,1.685136563788008690e+09,0.000000000000000000e+00,-5.799060972708679484e-01,0.000000000000000000e+00,-5.799060972708679484e-01
1.499999999999999944e-01,1.685136563803970337e+09,0.000000000000000000e+00,-4.204401048073896363e-01,0.000000000000000000e+00,-4.204401048073896363e-01
1.666666666666666574e-01,1.685136563821005583e+09,0.000000000000000000e+00,-6.467821755363195591e-02,0.000000000000000000e+00,-6.467821755363195591e-02
1.833333333333333204e-01,1.685136563840006113e+09,0.000000000000000000e+00,-3.504794782700832844e-03,0.000000000000000000e+00,-3.504794782700832844e-03
2.000000000000000111e-01,1.685136563856999636e+09,0.000000000000000000e+00,-6.784236011074917805e-02,0.000000000000000000e+00,-6.784236011074917805e-02
2.166666666666666741e-01,1.685136563874017477e+09,0.000000000000000000e+00,-3.778300581813648362e-02,0.000000000000000000e+00,-3.778300581813648362e-02
2.333333333333333370e-01,1.685136563889997244e+09,0.000000000000000000e+00,2.336017465791653258e-01,0.000000000000000000e+00,2.336017465791653258e-01
2.500000000000000000e-01,1.685136563907017231e+09,0.000000000000000000e+00,3.081632470933342582e-01,0.000000000000000000e+00,3.081632470933342582e-01
2.666666666666666630e-01,1.685136563924003839e+09,0.000000000000000000e+00,3.524612428929738139e-01,0.000000000000000000e+00,3.524612428929738139e-01
2.833333333333333259e-01,1.685136563940968513e+09,0.000000000000000000e+00,3.907541602493151967e-01,0.000000000000000000e+00,3.907541602493151967e-01
2.999999999999999889e-01,1.685136563958007574e+09,0.000000000000000000e+00,4.772407234771828821e-01,0.000000000000000000e+00,4.772407234771828821e-01
3.166666666666666519e-01,1.685136563976027250e+09,0.000000000000000000e+00,5.674187863550202993e-01,0.000000000000000000e+00,5.674187863550202993e-01
3.333333333333333148e-01,1.685136563995005608e+09,0.000000000000000000e+00,5.948413551833687807e-01,0.000000000000000000e+00,5.948413551833687807e-01
3.499999999999999778e-01,1.685136564010005236e+09,0.000000000000000000e+00,6.639251343470923272e-01,0.000000000000000000e+00,6.639251343470923272e-01
3.666666666666666408e-01,1.685136564026027203e+09,0.000000000000000000e+00,6.966212741039692347e-01,0.000000000000000000e+00,6.966212741039692347e-01
3.833333333333333037e-01,1.685136564043026686e+09,0.000000000000000000e+00,6.813279184112362996e-01,0.000000000000000000e+00,6.813279184112362996e-01
4.000000000000000222e-01,1.685136564061969519e+09,0.000000000000000000e+00,7.367004131607859385e-01,0.000000000000000000e+00,7.367004131607859385e-01
4.166666666666666852e-01,1.685136564076970100e+09,0.000000000000000000e+00,7.071684159610260867e-01,0.000000000000000000e+00,7.071684159610260867e-01
4.333333333333333481e-01,1.685136564094968319e+09,0.000000000000000000e+00,7.303721280465514942e-01,0.000000000000000000e+00,7.303721280465514942e-01
4.500000000000000111e-01,1.685136564112026215e+09,0.000000000000000000e+00,7.635956248962814108e-01,0.000000000000000000e+00,7.635956248962814108e-01
4.666666666666666741e-01,1.685136564130004883e+09,0.000000000000000000e+00,8.780321140453499762e-01,0.000000000000000000e+00,8.780321140453499762e-01
4.833333333333333370e-01,1.685136564149025917e+09,0.000000000000000000e+00,8.952307476875762671e-01,0.000000000000000000e+00,8.952307476875762671e-01
5.000000000000000000e-01,1.685136564165006399e+09,0.000000000000000000e+00,9.766478904088333746e-01,0.000000000000000000e+00,9.766478904088333746e-01
5.166666666666666075e-01,1.685136564181027174e+09,0.000000000000000000e+00,9.497526786733379023e-01,0.000000000000000000e+00,9.497526786733379023e-01
5.333333333333333259e-01,1.685136564198018074e+09,0.000000000000000000e+00,9.882497464515962449e-01,0.000000000000000000e+00,9.882497464515962449e-01
5.500000000000000444e-01,1.685136564216017246e+09,0.000000000000000000e+00,9.980653807938822952e-01,0.000000000000000000e+00,9.980653807938822952e-01
5.666666666666666519e-01,1.685136564232017279e+09,0.000000000000000000e+00,1.004597816330034643e+00,0.000000000000000000e+00,1.004597816330034643e+00
5.833333333333333703e-01,1.685136564250017405e+09,0.000000000000000000e+00,9.734837478517163190e-01,0.000000000000000000e+00,9.734837478517163190e-01
5.999999999999999778e-01,1.685136564268006086e+09,0.000000000000000000e+00,9.671554627374819857e-01,0.000000000000000000e+00,9.671554627374819857e-01
6.166666666666666963e-01,1.685136564285029650e+09,0.000000000000000000e+00,9.587177492518363930e-01,0.000000000000000000e+00,9.587177492518363930e-01
6.333333333333333037e-01,1.685136564301020861e+09,0.000000000000000000e+00,9.460611790233680596e-01,0.000000000000000000e+00,9.460611790233680596e-01
6.500000000000000222e-01,1.685136564317019939e+09,0.000000000000000000e+00,9.291857520520768743e-01,0.000000000000000000e+00,9.291857520520768743e-01
6.666666666666666297e-01,1.685136564334027290e+09,0.000000000000000000e+00,9.028178974094343001e-01,0.000000000000000000e+00,9.028178974094343001e-01
6.833333333333333481e-01,1.685136564352026463e+09,0.000000000000000000e+00,8.869971846238485780e-01,0.000000000000000000e+00,8.869971846238485780e-01
6.999999999999999556e-01,1.685136564371019125e+09,0.000000000000000000e+00,8.662261075806693134e-01,0.000000000000000000e+00,8.662261075806693134e-01
7.166666666666666741e-01,1.685136564386018038e+09,0.000000000000000000e+00,8.780321140453499762e-01,0.000000000000000000e+00,8.780321140453499762e-01
7.333333333333332815e-01,1.685136564402995825e+09,0.000000000000000000e+00,8.432265459170616984e-01,0.000000000000000000e+00,8.432265459170616984e-01
7.500000000000000000e-01,1.685136564421023369e+09,0.000000000000000000e+00,8.727585431168215502e-01,0.000000000000000000e+00,8.727585431168215502e-01
7.666666666666666075e-01,1.685136564435994148e+09,0.000000000000000000e+00,8.817236136953200409e-01,0.000000000000000000e+00,8.817236136953200409e-01
7.833333333333333259e-01,1.685136564453970909e+09,0.000000000000000000e+00,9.581903921589836060e-01,0.000000000000000000e+00,9.581903921589836060e-01
8.000000000000000444e-01,1.685136564471027136e+09,0.000000000000000000e+00,9.075641112451098280e-01,0.000000000000000000e+00,9.075641112451098280e-01
8.166666666666666519e-01,1.685136564488027334e+09,0.000000000000000000e+00,9.476432503019265319e-01,0.000000000000000000e+00,9.476432503019265319e-01
8.333333333333333703e-01,1.685136564508018970e+09,0.000000000000000000e+00,9.629366059946593559e-01,0.000000000000000000e+00,9.629366059946593559e-01
8.499999999999999778e-01,1.685136564526027203e+09,0.000000000000000000e+00,9.761205333159804765e-01,0.000000000000000000e+00,9.761205333159804765e-01
8.666666666666666963e-01,1.685136564541032791e+09,0.000000000000000000e+00,1.001961030865770264e+00,0.000000000000000000e+00,1.001961030865770264e+00
8.833333333333333037e-01,1.685136564560026884e+09,0.000000000000000000e+00,1.022000600394178615e+00,0.000000000000000000e+00,1.022000600394178615e+00
9.000000000000000222e-01,1.685136564577006340e+09,0.000000000000000000e+00,9.096735396165213094e-01,0.000000000000000000e+00,9.096735396165213094e-01
9.166666666666666297e-01,1.685136564594027042e+09,0.000000000000000000e+00,9.059820399665513557e-01,0.000000000000000000e+00,9.059820399665513557e-01
