2022-02-01-15:35:35.747333,20.0,18.0,274.0
2022-02-01-15:35:35.748294,5.0,8.0,274.0
2022-02-01-15:35:35.748294,14.0,0.0,274.0
2022-02-01-15:35:35.749291,36.0,5.0,275.0
2022-02-01-15:35:35.750289,15.0,3.0,275.0
2022-02-01-15:35:35.751285,31.0,16.0,274.0
2022-02-01-15:35:35.752318,26.0,24.0,275.0
2022-02-01-15:35:35.753313,2.0,7.0,274.0
2022-02-01-15:35:35.754277,0.0,4.0,274.0
2022-02-01-15:35:35.756298,2.0,8.0,274.0
2022-02-01-15:35:35.757270,2.0,9.0,275.0
2022-02-01-15:35:35.757270,16.0,9.0,274.0
2022-02-01-15:35:35.758294,15.0,9.0,274.0
2022-02-01-15:35:35.759290,6.0,0.0,275.0
2022-02-01-15:35:35.760288,11.0,0.0,274.0
2022-02-01-15:35:35.761285,21.0,6.0,274.0
2022-02-01-15:35:35.762280,19.0,12.0,274.0
2022-02-01-15:35:35.763280,13.0,1.0,274.0
2022-02-01-15:35:35.764276,10.0,1.0,275.0
2022-02-01-15:35:35.765274,5.0,12.0,274.0
2022-02-01-15:35:35.766274,26.0,15.0,275.0
2022-02-01-15:35:35.767268,5.0,4.0,275.0
2022-02-01-15:35:35.768260,3.0,6.0,275.0
2022-02-01-15:35:35.769257,13.0,3.0,274.0
2022-02-01-15:35:35.770235,5.0,2.0,275.0
2022-02-01-15:35:35.771231,17.0,7.0,275.0
2022-02-01-15:35:35.772231,23.0,7.0,275.0
2022-02-01-15:35:35.773227,30.0,17.0,274.0
2022-02-01-15:35:35.774261,3.0,2.0,275.0
2022-02-01-15:35:35.775221,6.0,2.0,275.0
2022-02-01-15:35:35.776218,14.0,6.0,274.0
2022-02-01-15:35:35.776218,14.0,8.0,274.0
2022-02-01-15:35:35.777248,22.0,24.0,275.0
2022-02-01-15:35:35.778239,3.0,3.0,275.0
2022-02-01-15:35:35.779241,7.0,1.0,275.0
2022-02-01-15:35:35.780235,3.0,9.0,274.0
2022-02-01-15:35:35.781231,23.0,23.0,274.0
2022-02-01-15:35:35.782230,13.0,5.0,274.0
2022-02-01-15:35:35.783225,6.0,0.0,274.0
2022-02-01-15:35:35.784224,33.0,19.0,275.0
2022-02-01-15:35:35.785220,12.0,0.0,275.0
2022-02-01-15:35:35.786217,3.0,9.0,275.0
2022-02-01-15:35:35.787216,30.0,21.0,274.0
2022-02-01-15:35:35.788212,5.0,4.0,275.0
2022-02-01-15:35:35.789184,2.0,4.0,275.0
2022-02-01-15:35:35.791219,25.0,19.0,275.0
2022-02-01-15:35:35.791219,5.0,2.0,274.0
2022-02-01-15:35:35.792176,17.0,1.0,275.0
2022-02-01-15:35:35.793220,33.0,12.0,274.0
2022-02-01-15:35:35.794217,10.0,1.0,274.0
2022-02-01-15:35:35.795214,0.0,2.0,274.0
2022-02-01-15:35:35.796212,22.0,18.0,275.0
2022-02-01-15:35:35.797209,6.0,6.0,275.0
2022-02-01-15:35:35.798210,7.0,5.0,275.0
2022-02-01-15:35:35.799204,9.0,0.0,274.0
2022-02-01-15:35:35.800202,23.0,9.0,274.0
2022-02-01-15:35:35.801242,3.0,0.0,274.0
2022-02-01-15:35:35.801695,4.0,12.0,275.0
2022-02-01-15:35:35.801695,27.0,9.0,275.0
2022-02-01-15:35:35.802745,5.0,7.0,274.0
2022-02-01-15:35:35.803739,11.0,2.0,274.0
2022-02-01-15:35:35.804737,3.0,8.0,275.0
2022-02-01-15:35:35.805687,10.0,7.0,274.0
2022-02-01-15:35:35.806711,1.0,6.0,274.0
2022-02-01-15:35:35.807711,5.0,2.0,275.0
2022-02-01-15:35:35.808706,6.0,3.0,274.0
2022-02-01-15:35:35.809702,10.0,11.0,275.0
2022-02-01-15:35:35.810699,0.0,5.0,274.0
2022-02-01-15:35:35.811697,12.0,13.0,274.0
2022-02-01-15:35:35.812695,9.0,18.0,275.0
2022-02-01-15:35:35.813691,12.0,9.0,275.0
2022-02-01-15:35:35.814689,7.0,1.0,274.0
2022-02-01-15:35:35.815660,9.0,5.0,274.0
2022-02-01-15:35:35.816682,5.0,4.0,275.0
2022-02-01-15:35:35.817655,13.0,14.0,274.0
2022-02-01-15:35:35.818677,0.0,10.0,275.0
2022-02-01-15:35:35.819675,14.0,8.0,275.0
2022-02-01-15:35:35.820677,25.0,20.0,275.0
2022-02-01-15:35:35.821670,4.0,8.0,274.0
2022-02-01-15:35:35.822668,4.0,3.0,275.0
2022-02-01-15:35:35.823664,8.0,6.0,274.0
2022-02-01-15:35:35.825748,5.0,3.0,275.0
2022-02-01-15:35:35.826306,23.0,19.0,274.0
2022-02-01-15:35:35.826306,13.0,11.0,274.0
2022-02-01-15:35:35.827330,6.0,2.0,275.0
2022-02-01-15:35:35.828328,8.0,2.0,274.0
2022-02-01-15:35:35.829328,12.0,3.0,275.0
2022-02-01-15:35:35.830322,1.0,8.0,275.0
2022-02-01-15:35:35.831320,9.0,2.0,274.0
2022-02-01-15:35:35.832320,23.0,18.0,274.0
2022-02-01-15:35:35.833314,11.0,9.0,274.0
2022-02-01-15:35:35.834314,4.0,1.0,274.0
2022-02-01-15:35:35.835309,7.0,2.0,275.0
