2022-01-24-17:51:25.464910,3.0,2.0,387.0
2022-01-24-17:51:25.465917,5.0,1.0,388.0
2022-01-24-17:51:25.466883,7.0,1.0,388.0
2022-01-24-17:51:25.466883,4.0,13.0,389.0
2022-01-24-17:51:25.467868,4.0,1.0,389.0
2022-01-24-17:51:25.469907,4.0,2.0,390.0
2022-01-24-17:51:25.470861,5.0,1.0,391.0
2022-01-24-17:51:25.470861,7.0,4.0,392.0
2022-01-24-17:51:25.471857,5.0,5.0,392.0
2022-01-24-17:51:25.473909,5.0,2.0,392.0
2022-01-24-17:51:25.473909,4.0,16.0,393.0
2022-01-24-17:51:25.474885,5.0,10.0,394.0
2022-01-24-17:51:25.475905,4.0,3.0,395.0
2022-01-24-17:51:25.476899,4.0,5.0,395.0
2022-01-24-17:51:25.477897,4.0,4.0,396.0
2022-01-24-17:51:25.478896,5.0,10.0,397.0
2022-01-24-17:51:25.479893,8.0,4.0,397.0
2022-01-24-17:51:25.480834,7.0,9.0,398.0
2022-01-24-17:51:25.481857,5.0,8.0,399.0
2022-01-24-17:51:25.482876,2.0,14.0,399.0
2022-01-24-17:51:25.483873,7.0,1.0,399.0
2022-01-24-17:51:25.484871,4.0,0.0,400.0
2022-01-24-17:51:25.485868,2.0,7.0,401.0
2022-01-24-17:51:25.486866,7.0,5.0,401.0
2022-01-24-17:51:25.487815,4.0,13.0,402.0
2022-01-24-17:51:25.488839,3.0,9.0,403.0
2022-01-24-17:51:25.489858,3.0,5.0,403.0
2022-01-24-17:51:25.490807,1.0,3.0,403.0
2022-01-24-17:51:25.491804,5.0,4.0,404.0
2022-01-24-17:51:25.492801,4.0,3.0,405.0
2022-01-24-17:51:25.493799,5.0,7.0,406.0
2022-01-24-17:51:25.494798,5.0,8.0,406.0
2022-01-24-17:51:25.495794,2.0,3.0,407.0
2022-01-24-17:51:25.496817,5.0,5.0,407.0
2022-01-24-17:51:25.497822,0.0,5.0,407.0
2022-01-24-17:51:25.498817,6.0,6.0,408.0
2022-01-24-17:51:25.499809,8.0,2.0,407.0
2022-01-24-17:51:25.500814,7.0,1.0,408.0
2022-01-24-17:51:25.501804,6.0,16.0,409.0
2022-01-24-17:51:25.502801,2.0,9.0,409.0
2022-01-24-17:51:25.503808,3.0,8.0,410.0
2022-01-24-17:51:25.505815,1.0,5.0,410.0
2022-01-24-17:51:25.505815,5.0,5.0,410.0
2022-01-24-17:51:25.506792,8.0,7.0,410.0
2022-01-24-17:51:25.507788,4.0,8.0,411.0
2022-01-24-17:51:25.508785,7.0,6.0,411.0
2022-01-24-17:51:25.509783,1.0,4.0,412.0
2022-01-24-17:51:25.510780,1.0,5.0,413.0
2022-01-24-17:51:25.511777,10.0,9.0,413.0
2022-01-24-17:51:25.512774,4.0,2.0,413.0
2022-01-24-17:51:25.513773,5.0,10.0,414.0
2022-01-24-17:51:25.514771,1.0,11.0,414.0
2022-01-24-17:51:25.515767,6.0,0.0,414.0
2022-01-24-17:51:25.516764,5.0,8.0,415.0
2022-01-24-17:51:25.517761,4.0,1.0,415.0
2022-01-24-17:51:25.518760,6.0,12.0,416.0
2022-01-24-17:51:25.519729,5.0,9.0,416.0
2022-01-24-17:51:25.520753,4.0,15.0,416.0
2022-01-24-17:51:25.521998,2.0,1.0,417.0
2022-01-24-17:51:25.521998,4.0,7.0,417.0
2022-01-24-17:51:25.523024,5.0,2.0,417.0
2022-01-24-17:51:25.524021,3.0,5.0,418.0
2022-01-24-17:51:25.525020,5.0,2.0,418.0
2022-01-24-17:51:25.526016,3.0,2.0,418.0
2022-01-24-17:51:25.527013,3.0,9.0,419.0
2022-01-24-17:51:25.528012,4.0,5.0,419.0
2022-01-24-17:51:25.529008,10.0,3.0,419.0
2022-01-24-17:51:25.530007,3.0,18.0,420.0
2022-01-24-17:51:25.531003,4.0,8.0,419.0
2022-01-24-17:51:25.532000,6.0,2.0,420.0
2022-01-24-17:51:25.532998,8.0,1.0,420.0
2022-01-24-17:51:25.533998,8.0,9.0,420.0
2022-01-24-17:51:25.534994,4.0,5.0,420.0
2022-01-24-17:51:25.535990,4.0,7.0,420.0
2022-01-24-17:51:25.536986,5.0,7.0,421.0
2022-01-24-17:51:25.537985,4.0,8.0,421.0
2022-01-24-17:51:25.539978,2.0,1.0,421.0
2022-01-24-17:51:25.539978,1.0,1.0,421.0
2022-01-24-17:51:25.540977,0.0,8.0,422.0
2022-01-24-17:51:25.541974,9.0,12.0,421.0
2022-01-24-17:51:25.542977,1.0,5.0,422.0
2022-01-24-17:51:25.543969,6.0,3.0,421.0
2022-01-24-17:51:25.544965,6.0,2.0,421.0
2022-01-24-17:51:25.545964,1.0,16.0,422.0
2022-01-24-17:51:25.546959,7.0,4.0,421.0
2022-01-24-17:51:25.547957,1.0,7.0,422.0
2022-01-24-17:51:25.548956,8.0,1.0,422.0
2022-01-24-17:51:25.549951,6.0,8.0,422.0
2022-01-24-17:51:25.550956,2.0,5.0,422.0
2022-01-24-17:51:25.551947,4.0,4.0,421.0
2022-01-24-17:51:25.552944,6.0,11.0,421.0
2022-01-24-17:51:25.553942,4.0,5.0,422.0
2022-01-24-17:51:25.554939,3.0,6.0,422.0
2022-01-24-17:51:25.555935,8.0,10.0,421.0
2022-01-24-17:51:25.556935,2.0,3.0,422.0
2022-01-24-17:51:25.557930,7.0,7.0,422.0
2022-01-24-17:51:25.558927,5.0,5.0,422.0
2022-01-24-17:51:25.559926,0.0,7.0,422.0
2022-01-24-17:51:25.560922,5.0,7.0,422.0
2022-01-24-17:51:25.561920,3.0,7.0,421.0
2022-01-24-17:51:25.562917,4.0,5.0,421.0
2022-01-24-17:51:25.563915,6.0,2.0,422.0
2022-01-24-17:51:25.564913,0.0,7.0,422.0
2022-01-24-17:51:25.565909,7.0,0.0,422.0
2022-01-24-17:51:25.566909,2.0,6.0,422.0
2022-01-24-17:51:25.567904,8.0,4.0,421.0
2022-01-24-17:51:25.568902,7.0,12.0,421.0
2022-01-24-17:51:25.569899,3.0,13.0,422.0
2022-01-24-17:51:25.570894,3.0,14.0,422.0
2022-01-24-17:51:25.572864,3.0,14.0,422.0
2022-01-24-17:51:25.572864,3.0,2.0,422.0
2022-01-24-17:51:25.573862,5.0,9.0,421.0
2022-01-24-17:51:25.574884,5.0,9.0,421.0
2022-01-24-17:51:25.575882,5.0,9.0,421.0
2022-01-24-17:51:25.576854,5.0,9.0,421.0
2022-01-24-17:51:25.577878,8.0,2.0,421.0
2022-01-24-17:51:25.578874,11.0,1.0,421.0
2022-01-24-17:51:25.579870,11.0,1.0,421.0
2022-01-24-17:51:25.580844,11.0,1.0,421.0
2022-01-24-17:51:25.581866,1.0,17.0,421.0
2022-01-24-17:51:25.582863,4.0,9.0,422.0
2022-01-24-17:51:25.583835,4.0,9.0,422.0
2022-01-24-17:51:25.584857,4.0,9.0,422.0
2022-01-24-17:51:25.585856,4.0,9.0,422.0
2022-01-24-17:51:25.586852,4.0,8.0,422.0
2022-01-24-17:51:25.587824,4.0,8.0,422.0
2022-01-24-17:51:25.588848,4.0,8.0,422.0
2022-01-24-17:51:25.589844,3.0,4.0,422.0
2022-01-24-17:51:25.590841,3.0,4.0,422.0
2022-01-24-17:51:25.591839,3.0,4.0,422.0
2022-01-24-17:51:25.592836,3.0,4.0,422.0
2022-01-24-17:51:25.593835,3.0,4.0,422.0
2022-01-24-17:51:25.594831,8.0,6.0,421.0
2022-01-24-17:51:25.595829,8.0,6.0,421.0
2022-01-24-17:51:25.596828,10.0,7.0,422.0
2022-01-24-17:51:25.597824,10.0,7.0,422.0
2022-01-24-17:51:25.598824,3.0,9.0,422.0
2022-01-24-17:51:25.599819,1.0,9.0,422.0
2022-01-24-17:51:25.600822,1.0,9.0,422.0
2022-01-24-17:51:25.601820,1.0,9.0,422.0
2022-01-24-17:51:25.602811,6.0,11.0,421.0
2022-01-24-17:51:25.603809,8.0,12.0,421.0
2022-01-24-17:51:25.604806,8.0,12.0,421.0
2022-01-24-17:51:25.605802,8.0,12.0,421.0
2022-01-24-17:51:25.607819,8.0,12.0,421.0
2022-01-24-17:51:25.607819,2.0,4.0,421.0
2022-01-24-17:51:25.608793,2.0,4.0,421.0
2022-01-24-17:51:25.609793,2.0,4.0,421.0
2022-01-24-17:51:25.610792,9.0,5.0,421.0
2022-01-24-17:51:25.611807,6.0,5.0,422.0
2022-01-24-17:51:25.612806,3.0,1.0,422.0
2022-01-24-17:51:25.613755,3.0,1.0,422.0
2022-01-24-17:51:25.614799,9.0,5.0,421.0
2022-01-24-17:51:25.615904,1.0,12.0,422.0
2022-01-24-17:51:25.615904,1.0,12.0,422.0
2022-01-24-17:51:25.616936,1.0,12.0,422.0
2022-01-24-17:51:25.617934,1.0,12.0,422.0
2022-01-24-17:51:25.619029,2.0,9.0,422.0
2022-01-24-17:51:25.619029,2.0,9.0,422.0
2022-01-24-17:51:25.620077,5.0,7.0,422.0
2022-01-24-17:51:25.621096,5.0,7.0,422.0
2022-01-24-17:51:25.622023,5.0,7.0,422.0
2022-01-24-17:51:25.623067,3.0,4.0,422.0
2022-01-24-17:51:25.624170,7.0,1.0,422.0
2022-01-24-17:51:25.624563,7.0,1.0,422.0
2022-01-24-17:51:25.624786,7.0,1.0,422.0
2022-01-24-17:51:25.624786,7.0,1.0,422.0
2022-01-24-17:51:25.625812,7.0,1.0,422.0
2022-01-24-17:51:25.626813,7.0,9.0,422.0
2022-01-24-17:51:25.627864,6.0,11.0,422.0
2022-01-24-17:51:25.627864,7.0,4.0,422.0
2022-01-24-17:51:25.628910,7.0,4.0,422.0
2022-01-24-17:51:25.629907,7.0,4.0,422.0
2022-01-24-17:51:25.630885,7.0,4.0,422.0
2022-01-24-17:51:25.631902,6.0,1.0,421.0
2022-01-24-17:51:25.632980,2.0,22.0,422.0
2022-01-24-17:51:25.632980,2.0,22.0,422.0
2022-01-24-17:51:25.634029,2.0,22.0,422.0
2022-01-24-17:51:25.635023,2.0,22.0,422.0
2022-01-24-17:51:25.636021,4.0,11.0,422.0
2022-01-24-17:51:25.637018,2.0,7.0,421.0
2022-01-24-17:51:25.638094,6.0,5.0,422.0
2022-01-24-17:51:25.638094,6.0,5.0,422.0
2022-01-24-17:51:25.640092,5.0,6.0,422.0
