# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.643075960450201988e+09,0.000000000000000000e+00,2.052784976881101286e+00,0.000000000000000000e+00,2.325856081988744606e+00
1.666666666666666644e-02,1.643075960452225208e+09,0.000000000000000000e+00,2.325856081988744606e+00,8.390596178850242559e-01,2.325856081988744606e+00
3.333333333333333287e-02,1.643075960452225208e+09,0.000000000000000000e+00,2.052784976881101286e+00,0.000000000000000000e+00,2.052784976881101286e+00
5.000000000000000278e-02,1.643075960472549200e+09,0.000000000000000000e+00,2.036760113673599104e+00,0.000000000000000000e+00,2.036760113673599104e+00
6.666666666666666574e-02,1.643075960487512350e+09,0.000000000000000000e+00,1.940610934428582013e+00,0.000000000000000000e+00,1.940610934428582013e+00
8.333333333333332871e-02,1.643075960505462885e+09,0.000000000000000000e+00,1.860486618391068436e+00,0.000000000000000000e+00,1.860486618391068436e+00
1.000000000000000056e-01,1.643075960521419287e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
1.166666666666666685e-01,1.643075960537376642e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
1.333333333333333315e-01,1.643075960555508614e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
1.499999999999999944e-01,1.643075960573055983e+09,0.000000000000000000e+00,1.860486618391068436e+00,0.000000000000000000e+00,1.860486618391068436e+00
1.666666666666666574e-01,1.643075960591007948e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
1.833333333333333204e-01,1.643075960606985092e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
2.000000000000000111e-01,1.643075960623334646e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
2.166666666666666741e-01,1.643075960642280102e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
2.333333333333333370e-01,1.643075960659410000e+09,0.000000000000000000e+00,1.860486618391068436e+00,0.000000000000000000e+00,1.860486618391068436e+00
2.500000000000000000e-01,1.643075960676845789e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
2.666666666666666630e-01,1.643075960693832397e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
2.833333333333333259e-01,1.643075960711784601e+09,0.000000000000000000e+00,1.876511481598570841e+00,0.000000000000000000e+00,1.876511481598570841e+00
