2022-01-24-17:00:03.150276,4.0,7.0,453.0
2022-01-24-17:00:03.151241,6.0,4.0,453.0
2022-01-24-17:00:03.152238,8.0,5.0,453.0
2022-01-24-17:00:03.153235,9.0,5.0,453.0
2022-01-24-17:00:03.154232,4.0,14.0,453.0
2022-01-24-17:00:03.154232,2.0,7.0,453.0
2022-01-24-17:00:03.155264,3.0,7.0,453.0
2022-01-24-17:00:03.156266,3.0,4.0,453.0
2022-01-24-17:00:03.157225,7.0,5.0,453.0
2022-01-24-17:00:03.159249,5.0,5.0,453.0
2022-01-24-17:00:03.159249,8.0,1.0,453.0
2022-01-24-17:00:03.160219,4.0,13.0,453.0
2022-01-24-17:00:03.161216,4.0,9.0,453.0
2022-01-24-17:00:03.162215,5.0,4.0,453.0
2022-01-24-17:00:03.163210,2.0,6.0,454.0
2022-01-24-17:00:03.164214,9.0,8.0,453.0
2022-01-24-17:00:03.165204,5.0,1.0,453.0
2022-01-24-17:00:03.166202,6.0,3.0,453.0
2022-01-24-17:00:03.167199,1.0,6.0,453.0
2022-01-24-17:00:03.168196,2.0,6.0,453.0
2022-01-24-17:00:03.169221,10.0,5.0,453.0
2022-01-24-17:00:03.170191,6.0,4.0,453.0
2022-01-24-17:00:03.171188,5.0,7.0,453.0
2022-01-24-17:00:03.172186,3.0,6.0,452.0
2022-01-24-17:00:03.173183,5.0,3.0,452.0
2022-01-24-17:00:03.174180,5.0,3.0,452.0
2022-01-24-17:00:03.175178,11.0,4.0,452.0
2022-01-24-17:00:03.176200,2.0,15.0,452.0
2022-01-24-17:00:03.177172,5.0,10.0,451.0
2022-01-24-17:00:03.178170,4.0,2.0,451.0
2022-01-24-17:00:03.179167,5.0,7.0,451.0
2022-01-24-17:00:03.179167,8.0,7.0,450.0
2022-01-24-17:00:03.180165,7.0,6.0,450.0
2022-01-24-17:00:03.181163,9.0,4.0,450.0
2022-01-24-17:00:03.182159,0.0,17.0,448.0
2022-01-24-17:00:03.183157,5.0,6.0,448.0
2022-01-24-17:00:03.184154,5.0,2.0,447.0
2022-01-24-17:00:03.185151,9.0,5.0,447.0
2022-01-24-17:00:03.186148,9.0,1.0,447.0
2022-01-24-17:00:03.187146,5.0,11.0,446.0
2022-01-24-17:00:03.188143,2.0,8.0,445.0
2022-01-24-17:00:03.189141,3.0,4.0,444.0
2022-01-24-17:00:03.190197,6.0,4.0,444.0
2022-01-24-17:00:03.191247,8.0,8.0,443.0
2022-01-24-17:00:03.192196,8.0,3.0,443.0
2022-01-24-17:00:03.192196,2.0,10.0,442.0
2022-01-24-17:00:03.193222,2.0,5.0,442.0
2022-01-24-17:00:03.194217,5.0,5.0,441.0
2022-01-24-17:00:03.195216,6.0,0.0,440.0
2022-01-24-17:00:03.196211,6.0,14.0,440.0
2022-01-24-17:00:03.197208,0.0,7.0,439.0
2022-01-24-17:00:03.198206,4.0,5.0,438.0
2022-01-24-17:00:03.199205,4.0,3.0,438.0
2022-01-24-17:00:03.200205,9.0,3.0,438.0
2022-01-24-17:00:03.201201,4.0,5.0,438.0
2022-01-24-17:00:03.202195,3.0,4.0,438.0
2022-01-24-17:00:03.203194,8.0,5.0,438.0
2022-01-24-17:00:03.204203,8.0,3.0,437.0
2022-01-24-17:00:03.205192,4.0,8.0,437.0
2022-01-24-17:00:03.206185,3.0,8.0,437.0
