2022-02-11-11:46:10.418119,11.0,7.0,320.0
2022-02-11-11:46:10.419117,1.0,1.0,320.0
2022-02-11-11:46:10.419117,4.0,0.0,319.0
2022-02-11-11:46:10.420148,12.0,6.0,320.0
2022-02-11-11:46:10.421115,2.0,1.0,319.0
2022-02-11-11:46:10.422111,12.0,4.0,319.0
2022-02-11-11:46:10.423143,16.0,8.0,320.0
2022-02-11-11:46:10.425128,18.0,3.0,319.0
2022-02-11-11:46:10.426098,2.0,5.0,319.0
2022-02-11-11:46:10.426098,6.0,3.0,320.0
2022-02-11-11:46:10.427122,10.0,3.0,320.0
2022-02-11-11:46:10.428113,15.0,2.0,319.0
2022-02-11-11:46:10.429092,15.0,2.0,320.0
2022-02-11-11:46:10.430090,5.0,7.0,320.0
2022-02-11-11:46:10.431120,0.0,1.0,319.0
2022-02-11-11:46:10.432107,6.0,3.0,320.0
2022-02-11-11:46:10.433105,9.0,4.0,320.0
2022-02-11-11:46:10.434113,9.0,1.0,319.0
2022-02-11-11:46:10.435100,1.0,7.0,319.0
2022-02-11-11:46:10.436097,6.0,7.0,320.0
2022-02-11-11:46:10.437069,12.0,5.0,319.0
2022-02-11-11:46:10.438092,13.0,1.0,319.0
2022-02-11-11:46:10.439089,16.0,0.0,319.0
2022-02-11-11:46:10.440086,13.0,1.0,319.0
2022-02-11-11:46:10.441059,6.0,5.0,320.0
2022-02-11-11:46:10.442083,9.0,2.0,319.0
2022-02-11-11:46:10.443079,16.0,1.0,320.0
2022-02-11-11:46:10.444053,21.0,5.0,319.0
2022-02-11-11:46:10.445054,10.0,3.0,319.0
2022-02-11-11:46:10.446072,11.0,1.0,320.0
2022-02-11-11:46:10.447044,10.0,1.0,319.0
2022-02-11-11:46:10.448058,1.0,4.0,320.0
2022-02-11-11:46:10.449061,2.0,10.0,319.0
2022-02-11-11:46:10.450062,9.0,4.0,320.0
2022-02-11-11:46:10.451060,1.0,3.0,319.0
2022-02-11-11:46:10.452031,5.0,11.0,320.0
2022-02-11-11:46:10.453052,6.0,4.0,320.0
2022-02-11-11:46:10.454051,6.0,2.0,320.0
2022-02-11-11:46:10.455043,9.0,3.0,319.0
2022-02-11-11:46:10.456046,5.0,1.0,319.0
2022-02-11-11:46:10.458040,6.0,1.0,320.0
2022-02-11-11:46:10.459011,14.0,4.0,319.0
2022-02-11-11:46:10.459011,10.0,1.0,320.0
2022-02-11-11:46:10.460033,5.0,8.0,319.0
2022-02-11-11:46:10.461031,9.0,10.0,320.0
2022-02-11-11:46:10.462028,5.0,4.0,320.0
2022-02-11-11:46:10.463025,2.0,2.0,319.0
2022-02-11-11:46:10.464024,11.0,1.0,319.0
2022-02-11-11:46:10.465021,12.0,0.0,320.0
2022-02-11-11:46:10.466020,5.0,11.0,319.0
2022-02-11-11:46:10.467015,5.0,10.0,320.0
2022-02-11-11:46:10.468013,9.0,5.0,320.0
2022-02-11-11:46:10.469011,6.0,0.0,319.0
2022-02-11-11:46:10.470008,4.0,5.0,320.0
2022-02-11-11:46:10.471007,6.0,9.0,320.0
2022-02-11-11:46:10.472003,10.0,7.0,319.0
2022-02-11-11:46:10.472999,7.0,7.0,319.0
2022-02-11-11:46:10.473971,8.0,1.0,320.0
2022-02-11-11:46:10.474994,11.0,2.0,319.0
2022-02-11-11:46:10.475991,4.0,2.0,319.0
2022-02-11-11:46:10.476990,1.0,12.0,319.0
2022-02-11-11:46:10.477960,14.0,3.0,319.0
2022-02-11-11:46:10.478990,11.0,6.0,320.0
2022-02-11-11:46:10.479981,9.0,3.0,320.0
2022-02-11-11:46:10.480952,10.0,8.0,320.0
2022-02-11-11:46:10.481950,9.0,7.0,319.0
2022-02-11-11:46:10.482973,1.0,6.0,319.0
2022-02-11-11:46:10.483947,2.0,2.0,319.0
2022-02-11-11:46:10.484941,10.0,6.0,320.0
2022-02-11-11:46:10.485967,18.0,1.0,319.0
2022-02-11-11:46:10.486965,14.0,1.0,320.0
2022-02-11-11:46:10.487960,4.0,3.0,319.0
2022-02-11-11:46:10.488956,5.0,6.0,319.0
2022-02-11-11:46:10.489954,7.0,1.0,319.0
