2023-05-30-13:31:28.641300,4.0,13.0,438.0
2023-05-30-13:31:28.642300,1.0,40.0,438.0
2023-05-30-13:31:28.642300,5.0,10.0,438.0
2023-05-30-13:31:28.644298,7.0,11.0,438.0
2023-05-30-13:31:28.644298,5.0,52.0,438.0
2023-05-30-13:31:28.645298,1.0,40.0,438.0
2023-05-30-13:31:28.646297,3.0,6.0,438.0
2023-05-30-13:31:28.647297,2.0,7.0,438.0
2023-05-30-13:31:28.649297,4.0,8.0,438.0
2023-05-30-13:31:28.649297,5.0,14.0,438.0
2023-05-30-13:31:28.650297,6.0,15.0,438.0
2023-05-30-13:31:28.651335,7.0,18.0,438.0
2023-05-30-13:31:28.652299,7.0,22.0,438.0
2023-05-30-13:31:28.653302,3.0,4.0,438.0
2023-05-30-13:31:28.654302,6.0,22.0,438.0
2023-05-30-13:31:28.655302,4.0,1.0,438.0
2023-05-30-13:31:28.656299,3.0,9.0,438.0
2023-05-30-13:31:28.657356,6.0,4.0,438.0
2023-05-30-13:31:28.658355,5.0,17.0,438.0
2023-05-30-13:31:28.659360,5.0,9.0,438.0
2023-05-30-13:31:28.660302,4.0,19.0,438.0
2023-05-30-13:31:28.661299,5.0,51.0,438.0
2023-05-30-13:31:28.662334,0.0,3.0,438.0
2023-05-30-13:31:28.663335,7.0,18.0,438.0
2023-05-30-13:31:28.664302,2.0,19.0,438.0
2023-05-30-13:31:28.665302,6.0,12.0,438.0
2023-05-30-13:31:28.666302,5.0,14.0,438.0
2023-05-30-13:31:28.667335,11.0,11.0,438.0
2023-05-30-13:31:28.668334,1.0,18.0,438.0
2023-05-30-13:31:28.669325,9.0,2.0,438.0
2023-05-30-13:31:28.670300,3.0,7.0,438.0
2023-05-30-13:31:28.671300,5.0,7.0,438.0
2023-05-30-13:31:28.672329,0.0,0.0,438.0
2023-05-30-13:31:28.673325,9.0,34.0,438.0
2023-05-30-13:31:28.674326,3.0,38.0,438.0
2023-05-30-13:31:28.675301,6.0,26.0,438.0
2023-05-30-13:31:28.676300,3.0,36.0,437.0
2023-05-30-13:31:28.677323,5.0,22.0,438.0
2023-05-30-13:31:28.678324,5.0,6.0,437.0
